Municipio;População residente;Perc População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Perc Alfabetizacao;Perc Saneamento Adequado;Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos com rendimento;Perc Pessoas acima 25 anos com pelo menos fundamento completo;Perc Economicamente Ativa com Rendimento;IDHM 2010;IDHM Faixas;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Coração de Maria;22401;58,04;6225;267;68,97;3,55;84,07;57,63;29,64;55,73;59,2;Médio Alto;58,7;75,2;51,7;52,93
Correntina;31249;59,67;8763;314;65,88;13,94;83,17;54,94;28,08;43,38;60,3;Médio Alto;59;78,9;51,8;58,85
Crisópolis;20046;57,04;6010;202;56,37;4,88;82,28;64,49;12,93;60,09;54,3;Baixo;55,4;78,7;46,5;58,31
Curaçá;32168;57,35;8676;214;65,28;33,69;80,93;58,83;23,93;49,38;58,1;Médio Baixo;59,8;77,1;51,3;52,79
Encruzilhada;23766;78,41;6611;212;53,89;16,88;81,24;57,93;20,46;49,03;54,4;Baixo;55,8;77,9;46,5;51,22
Entre Rios;39872;40,21;11087;280;74,52;9,51;81,67;53,42;36,34;46,54;61,5;Alto;64,5;77,1;50,8;62,49
Esplanada;32802;36,52;8645;260;70,37;9,31;80,64;59,61;28,54;52,45;58,9;Médio Baixo;58;77,1;56,2;59
Formosa do Rio Preto;22528;39,42;5582;297;69,15;2,67;80,49;53,82;31,7;44,95;61,8;Alto;57,2;73;55,3;61,36
Gandu;30336;18,09;9215;356;66,78;47,81;82,41;69,6;34,73;58,36;63,2;Alto;56,4;77,8;55,6;59,89
Guaratinga;22165;52,97;6718;244;50,47;39,62;82,53;61,6;19,31;52;55,8;Baixo;54,3;76,3;49,2;53,85
Iaçu;25736;21,64;7343;239;64,45;27,63;82,6;58,7;22,99;44,93;57,4;Médio Baixo;57,7;74,7;51,9;62,82
Ibicaraí;24272;26,31;7549;317;68,09;61,48;83,61;65,07;34,15;44,96;62,5;Alto;59,9;70,4;51,5;54,83
Ibirapitanga;22598;72,73;6332;250;57,24;42,67;79,37;62,43;20,22;50,31;55,8;Baixo;55,4;74,7;53,5;52,96
Ibotirama;25424;23,3;7152;338;73,96;26,2;82,8;61,95;36,38;53,64;63,6;Alto;60,2;78,5;49,2;55,81
Iguaí;25705;43,28;7428;249;55,88;51,23;83,01;60,43;18,4;49,78;55,2;Baixo;60,7;78,2;46,6;56,41
Inhambupe;36306;56,94;10148;236;63,99;29,13;81,36;60,34;23,87;57,22;56,5;Baixo;64,1;76,7;50,2;53,7
Ipiaú;44390;9,02;13076;388;70,16;64,06;84,26;64,68;38,35;50,71;67;Alto;60,1;75,7;57,5;69,96
Iraquara;22601;70,1;6105;203;75,2;4,03;81,36;55,85;26,35;48,78;59,9;Médio Alto;60,4;77,2;49,5;61,75
Irará;27466;59,05;7803;268;65,75;2,31;83,9;67,98;32,13;65,5;62;Alto;59,2;75,8;51,6;49,93
Itabela;28390;24,68;7890;309;64,59;2,97;80,32;61,06;28,2;53,84;59,9;Médio Alto;61,6;78,4;49,7;56,81
Itacaré;24318;43,9;6758;294;68,55;33,99;79,7;62;27,44;57,04;58,3;Médio Baixo;55,7;79,1;51,3;55,45
Itajuípe;21081;20,12;6400;341;67,49;56,06;84,11;65,25;32,2;48,7;59,9;Médio Alto;58;74,1;49,8;50,08
Itambé;23089;14,69;6092;288;64,13;77,23;82,76;66,47;24,67;52,34;57,8;Médio Baixo;58,5;77,6;49,6;41,35
